Year,County,CountyDummy,SalesTax,Population,TaxRates,PerCapitaPersonalIncome,Employment,USRetailSales,PersonalIncome
1995,Albany,1,155801549,299725,4,26834,151616,"2,450,628",8042955
1995,Allegany,2,11996446,51251,4,16246,21314,"2,450,628",832649
1995,Broome,3,74985517,207478,4,21232,93242,"2,450,628",4405211
1995,Cattaraugus,4,20344216,85040,4,17648,36577,"2,450,628",1500797
1995,Cayuga,5,22353399,82964,4,19174,35341,"2,450,628",1590753
1995,Chautauqua,6,33626721,142542,3,18555,63386,"2,450,628",2644908
1995,Chemung,7,28150250,93675,3,20134,40947,"2,450,628",1886083
1995,Chenango,8,8051158,52127,3,18114,22780,"2,450,628",944245
1995,Clinton,9,24469498,82914,3,18879,37541,"2,450,628",1565329
1995,Columbia,10,13630716,63790,4,22248,31407,"2,450,628",1419227
1995,Cortland,11,13722918,49123,4,18349,22233,"2,450,628",901341
1995,Delaware,12,6874844,48638,2,17167,19889,"2,450,628",834965
1995,Dutchess,13,73390310,266538,3,25171,110275,"2,450,628",6709048
1995,Erie,14,369341237,973927,4,23105,442040,"2,450,628",22502280
1995,Essex,15,10805697,38262,3,18795,16422,"2,450,628",719118
1995,Franklin,16,8612721,49965,3,16617,19646,"2,450,628",830284
1995,Fulton,17,8412938,55217,3,19366,25238,"2,450,628",1069307
1995,Genesee,18,12964579,61105,4,20764,30034,"2,450,628",1268763
1995,Greene,19,13897422,47187,4,19280,19510,"2,450,628",909776
1995,Hamilton,20,1595205,5245,3,20720,2222,"2,450,628",108675
1995,Herkimer,21,13131136,66711,4,18352,29098,"2,450,628",1224275
1995,Jefferson,22,29050854,115361,3,19035,39935,"2,450,628",2195929
1995,Lewis,23,4494022,27364,3,16191,11530,"2,450,628",443045
1995,Livingston,24,12611466,64146,3,19879,32182,"2,450,628",1275178
1995,Madison,25,11175160,70182,3,20681,32997,"2,450,628",1451449
1995,Monroe,26,298975109,733643,4,26146,366186,"2,450,628",19181514
1995,Montgomery,27,10425204,51649,3,20053,22165,"2,450,628",1035714
1995,Nassau,28,619494746,1312950,4.25,37628,645219,"2,450,628",49403343
1995,Niagara,29,52025496,223958,3,21072,101822,"2,450,628",4719198
1995,Onandaga,31,154998925,470235,3,23545,224231,"2,450,628",11071707
1995,Oneida,30,65038636,244736,4,20570,107491,"2,450,628",5034322
1995,Ontario,32,26715447,98816,3,23481,50172,"2,450,628",2320328
1995,Orange,33,87047303,323451,3,22995,145551,"2,450,628",7437854
1995,Orleans,34,8648998,44524,4,18361,19606,"2,450,628",817526
1995,Oswego,35,0,123972,0,18707,52439,"2,450,628",2319125
